词性,出现次数
/v/v/v/v,2483
/n/v/v/n,744
/r/n/v/v,22
/n/v/v/v,1463
/v/v/r/v,258
/v/v/v/n,1535
/n/v/n/v,1063
/v/n/v/n,1238
/v/n/v/v,1807
/v/v/n/v,1961
/v/v/v/u,412
/v/v/u/v,633
/v/n/n/v,683
/u/u/v/v,13
/v/u/v/v,630
/n/v/u/v,102
/u/v/v/v,586
/v/v/v/d,209
/r/v/v/v,110
/v/n/v/u,194
/u/v/v/n,117
/v/r/v/n,47
/n/v/v/u,189
/v/r/v/v,125
/n/u/v/v,87
/u/v/u/v,18
/n/n/v/v,322
/u/v/n/v,171
/v/u/v/n,149
/v/n/u/v,208
/n/n/u/v,24
/n/v/n/n,255
/n/u/n/v,24
/v/v/n/n,423
/v/v/n/r,17
/d/v/v/v,72
/r/v/v/n,30
/v/d/n/v,46
/u/d/v/v,14
/v/u/n/v,31
/r/u/v/v,18
/v/v/v/r,65
/v/n/v/r,15
/n/n/n/v,185
/n/n/v/n,148
/d/v/n/v,56
/v/v/d/v,231
/v/d/v/v,245
/n/v/n/u,26
/u/u/v/n,10
/v/n/n/n,140
/n/n/n/n,164
/v/v/d/n,27
/n/v/d/v,12
/u/v/n/u,38
/v/v/v/a,16
/d/n/u/v,8
/m/v/v/v,8
/u/n/v/v,37
/v/u/d/v,18
/d/v/d/v,14
/v/v/r/u,16
/r/r/v/v,34
/n/n/v/d,14
/d/n/v/v,62
/n/d/v/v,10
/n/n/n/u,10
/u/d/u/n,10
/d/v/n/n,8
/v/n/r/v,14
/v/n/d/v,38
/v/n/v/d,46
/n/v/v/r,28
/v/v/u/n,27
/n/n/u/n,17
/u/v/v/d,13
/d/u/v/v,68
/u/r/v/u,12
/n/v/n/d,12
/v/v/n/u,16
/r/v/u/v,14
/v/r/r/v,28
/v/n/d/n,15
/v/n/n/r,15
/v/n/d/u,20
/v/u/n/n,9
/n/v/r/v,9
/r/v/n/v,9
/r/v/r/v,9
/v/r/n/v,26
/u/v/v/u,24
/v/v/u/d,24
/u/v/v/r,8
