,F1,F2,F3,F4,F5,F6,F7,F8,label
900,5.0,0.0,14.0,2.0,1.0,12.0,6.0,14.0,56.3
901,2.0,10.0,15.0,7.0,5.0,14.0,4.0,4.0,77.3
902,6.0,5.0,8.0,14.0,6.0,9.0,8.0,6.0,79.1
903,9.0,4.0,5.0,11.0,9.0,4.0,3.0,14.0,74.4
904,15.0,6.0,8.0,9.0,1.0,6.0,7.0,15.0,75.5
905,12.0,4.0,3.0,15.0,0.0,10.0,7.0,11.0,75.0
906,6.0,1.0,1.0,12.0,7.0,10.0,0.0,1.0,81.9
907,11.0,15.0,6.0,14.0,12.0,6.0,2.0,9.0,78.9
908,5.0,1.0,5.0,13.0,0.0,3.0,2.0,2.0,83.2
909,14.0,7.0,7.0,15.0,11.0,7.0,7.0,15.0,78.1
910,11.0,5.0,11.0,12.0,13.0,7.0,9.0,0.0,81.3
911,1.0,2.0,10.0,9.0,7.0,12.0,5.0,12.0,67.3
912,4.0,8.0,9.0,1.0,7.0,7.0,15.0,4.0,81.0
913,0.0,0.0,5.0,13.0,13.0,6.0,11.0,0.0,69.0
914,15.0,2.0,13.0,1.0,15.0,3.0,8.0,9.0,81.0
915,11.0,2.0,13.0,10.0,10.0,8.0,0.0,7.0,77.5
916,0.0,9.0,15.0,15.0,8.0,8.0,12.0,10.0,72.1
917,3.0,2.0,9.0,8.0,13.0,8.0,3.0,9.0,67.0
918,4.0,10.0,5.0,0.0,1.0,7.0,7.0,11.0,73.9
919,12.0,5.0,6.0,6.0,9.0,0.0,6.0,5.0,84.1
920,14.0,5.0,2.0,11.0,3.0,13.0,7.0,8.0,79.4
921,6.0,9.0,1.0,8.0,14.0,9.0,13.0,6.0,70.2
922,8.0,3.0,3.0,10.0,12.0,6.0,0.0,2.0,80.9
923,3.0,0.0,13.0,6.0,3.0,12.0,5.0,4.0,75.2
924,2.0,12.0,12.0,13.0,1.0,6.0,0.0,14.0,72.8
925,1.0,8.0,13.0,2.0,11.0,2.0,1.0,12.0,74.6
926,13.0,11.0,3.0,2.0,2.0,9.0,9.0,4.0,78.4
927,3.0,12.0,12.0,12.0,14.0,6.0,15.0,14.0,70.8
928,4.0,0.0,8.0,0.0,13.0,11.0,6.0,1.0,75.7
929,9.0,1.0,14.0,4.0,1.0,4.0,14.0,14.0,72.4
930,14.0,3.0,5.0,6.0,5.0,10.0,6.0,9.0,84.2
931,9.0,0.0,3.0,5.0,2.0,13.0,12.0,6.0,74.9
932,1.0,5.0,11.0,14.0,8.0,10.0,13.0,12.0,73.6
933,15.0,10.0,15.0,0.0,15.0,7.0,10.0,10.0,78.0
934,4.0,4.0,13.0,11.0,15.0,4.0,7.0,9.0,78.4
935,0.0,9.0,6.0,15.0,11.0,9.0,14.0,0.0,71.6
936,9.0,11.0,8.0,8.0,5.0,9.0,10.0,0.0,81.3
937,10.0,9.0,2.0,13.0,10.0,1.0,11.0,2.0,77.6
938,15.0,6.0,4.0,8.0,9.0,6.0,9.0,3.0,77.6
939,14.0,14.0,11.0,4.0,15.0,14.0,2.0,14.0,80.3
940,6.0,15.0,7.0,0.0,0.0,4.0,13.0,15.0,75.2
941,7.0,11.0,12.0,13.0,2.0,15.0,2.0,12.0,78.3
942,6.0,0.0,8.0,11.0,10.0,0.0,6.0,12.0,68.7
943,9.0,3.0,5.0,8.0,5.0,6.0,7.0,2.0,77.0
944,8.0,3.0,3.0,12.0,10.0,1.0,10.0,4.0,76.8
945,0.0,7.0,11.0,6.0,15.0,12.0,2.0,15.0,56.4
946,13.0,8.0,14.0,2.0,0.0,6.0,2.0,10.0,74.0
947,1.0,0.0,1.0,3.0,10.0,3.0,7.0,5.0,69.4
948,2.0,0.0,11.0,6.0,2.0,15.0,14.0,11.0,60.9
949,12.0,9.0,12.0,1.0,9.0,5.0,6.0,8.0,82.8
950,8.0,13.0,11.0,15.0,12.0,12.0,9.0,8.0,72.5
951,3.0,7.0,5.0,12.0,2.0,10.0,11.0,0.0,73.5
952,6.0,6.0,5.0,11.0,4.0,0.0,13.0,4.0,77.2
953,11.0,14.0,12.0,4.0,11.0,8.0,4.0,4.0,83.1
954,2.0,8.0,13.0,7.0,5.0,7.0,2.0,14.0,72.8
955,10.0,12.0,7.0,8.0,11.0,7.0,1.0,2.0,81.9
956,9.0,11.0,2.0,10.0,2.0,13.0,2.0,5.0,76.7
957,8.0,1.0,2.0,5.0,5.0,2.0,13.0,15.0,72.4
958,14.0,11.0,5.0,2.0,9.0,1.0,0.0,4.0,82.8
959,14.0,1.0,13.0,12.0,7.0,14.0,11.0,11.0,66.7
960,4.0,10.0,12.0,7.0,7.0,2.0,6.0,1.0,81.2
961,3.0,8.0,6.0,14.0,14.0,10.0,11.0,10.0,67.9
962,3.0,11.0,1.0,7.0,4.0,1.0,8.0,13.0,67.2
963,2.0,12.0,12.0,5.0,8.0,1.0,13.0,14.0,73.6
964,6.0,13.0,11.0,15.0,3.0,4.0,6.0,4.0,75.7
965,8.0,8.0,4.0,13.0,5.0,13.0,2.0,15.0,75.7
966,10.0,7.0,9.0,8.0,3.0,11.0,14.0,15.0,70.5
967,11.0,15.0,15.0,1.0,8.0,7.0,8.0,0.0,78.6
968,8.0,1.0,4.0,14.0,6.0,1.0,15.0,4.0,74.3
969,3.0,8.0,11.0,3.0,6.0,6.0,14.0,12.0,73.6
970,11.0,4.0,10.0,12.0,8.0,11.0,2.0,11.0,74.3
971,7.0,11.0,14.0,2.0,11.0,12.0,11.0,1.0,73.4
972,8.0,8.0,6.0,2.0,0.0,15.0,11.0,2.0,72.4
973,2.0,11.0,13.0,10.0,10.0,10.0,15.0,7.0,67.7
974,1.0,2.0,4.0,11.0,0.0,1.0,14.0,2.0,74.8
975,9.0,4.0,13.0,5.0,15.0,7.0,2.0,11.0,71.7
976,7.0,7.0,15.0,15.0,13.0,6.0,8.0,9.0,67.0
977,13.0,13.0,4.0,2.0,9.0,14.0,3.0,9.0,79.7
978,8.0,13.0,10.0,11.0,15.0,10.0,5.0,4.0,74.8
979,9.0,0.0,8.0,0.0,1.0,13.0,0.0,9.0,84.2
980,10.0,7.0,12.0,5.0,12.0,11.0,9.0,10.0,71.7
981,6.0,11.0,15.0,6.0,11.0,3.0,11.0,2.0,75.6
982,14.0,13.0,6.0,13.0,1.0,1.0,14.0,0.0,84.3
983,14.0,5.0,8.0,7.0,1.0,11.0,11.0,0.0,75.7
984,13.0,7.0,2.0,7.0,10.0,12.0,11.0,7.0,70.0
985,7.0,3.0,5.0,0.0,7.0,10.0,3.0,9.0,76.9
986,1.0,1.0,5.0,7.0,12.0,15.0,7.0,6.0,74.4
987,0.0,6.0,1.0,9.0,8.0,1.0,8.0,10.0,67.2
988,3.0,7.0,12.0,1.0,12.0,10.0,7.0,12.0,68.0
989,2.0,15.0,10.0,8.0,5.0,14.0,8.0,2.0,72.2
990,11.0,4.0,15.0,7.0,10.0,1.0,2.0,12.0,81.3
991,11.0,4.0,4.0,1.0,5.0,6.0,9.0,1.0,77.7
992,2.0,1.0,4.0,5.0,10.0,14.0,3.0,5.0,79.1
993,12.0,2.0,0.0,6.0,0.0,9.0,5.0,10.0,73.5
994,1.0,9.0,13.0,15.0,8.0,1.0,7.0,4.0,78.5
995,8.0,13.0,9.0,13.0,11.0,3.0,4.0,3.0,85.3
996,15.0,9.0,8.0,2.0,14.0,13.0,11.0,8.0,78.5
997,15.0,0.0,0.0,9.0,15.0,15.0,1.0,0.0,79.7
998,2.0,15.0,2.0,6.0,10.0,9.0,2.0,13.0,77.4
999,1.0,12.0,9.0,10.0,1.0,6.0,11.0,9.0,76.2
